CaseID,InternationalIdentifier,EUProcedureNumber,CaseTypeID,CaseTypeGroupVersionNumber,CaseStatusTypeID,CaseTriggerReasonID,CreatedDate,CaseCategoryID,CaseLegacyID,CaseApprovalStatusTypeID,CaseApprovalDate,ConcurrencyRowVersion,Actual_Date
1,NULL,UK/V/0161/001       ,2582,111,3,1,01/11/2005,1,7000000,-999,01/01/2001,0x0000000007D3EFD1,#N/A
2,NULL,NULL,2582,111,3,1,03/11/2005,1,7000007,-999,01/01/2001,0x0000000007D3EFD2,#N/A
3,NULL,NULL,2582,111,3,1,03/11/2005,1,7000008,-999,01/01/2001,0x0000000007D3EFD3,#N/A
4,NULL,NULL,2582,111,3,1,04/11/2005,1,7000009,-999,01/01/2001,0x0000000007D3EFD4,#N/A
5,NULL,UK/V/0174/001       ,2582,111,3,1,04/11/2005,1,7000010,-999,01/01/2001,0x0000000007D3EFD5,#N/A
6,NULL,NULL,2582,111,3,1,04/11/2005,1,7000012,-999,01/01/2001,0x0000000007D3EFD6,#N/A
7,NULL,DK/V/104/1          ,2582,111,3,1,08/11/2005,1,7000014,-999,01/01/2001,0x0000000007D3EFD7,#N/A
8,NULL,IE/V/0126/001       ,2582,111,3,1,09/11/2005,1,7000018,-999,01/01/2001,0x0000000007D3EFD8,#N/A
9,NULL,NULL,2582,111,3,1,10/11/2005,1,7000022,-999,01/01/2001,0x0000000007D3EFD9,#N/A
10,NULL,NULL,2582,111,3,1,11/11/2005,1,7000024,-999,01/01/2001,0x0000000007D3EFDA,#N/A
11,NULL,FR/V/104/00/00/00   ,2582,111,3,1,11/11/2005,1,7000025,-999,01/01/2001,0x0000000007D3EFDB,#N/A
12,NULL,FR/V/0104/002/00    ,2582,111,3,1,11/11/2005,1,7000026,-999,01/01/2001,0x0000000007D3EFDC,#N/A
13,NULL,NULL,2582,111,3,1,11/11/2005,1,7000028,-999,01/01/2001,0x0000000007D3EFDD,#N/A
14,NULL,NULL,2582,111,3,1,11/11/2005,1,7000029,-999,01/01/2001,0x0000000007D3EFDE,#N/A
