CaseTypeID,Name,Descr,RequestTypeID,IsEnabled,CalendarTypeID,ReportGroupingID,RegulatoryProcedureTypeID,DefaultPriorityCasePriorityTypeID,DefaultCaseRiskRatingRequired,DefaultCaseRiskRatingReferenceID,RegulatedItemInstantiationTypeID,RegulatoryInstrumentNumberPrefix,CaseTypeGroupVersionNumber,CaseTypeVersionNumber,CaseTypeVersionStatusID,DataSetID,CaseTypeModifiedBy,CaseTypeModifiedDate,ConcurrencyRowVersion,ManagementCommitteeReportTableTypeID,SpcTypeID,InterfaceBehaviourID,ReportGroupingLevelTwoID,ReportGroupingLevelThreeID
8,New - Outgoing MR,New - Outgoing MR,6,1,2,5,4,3,0,NULL,2,VPA,1,1,3,1,NULL,00:00.0,0x000000000039209E,2,NULL,NULL,NULL,NULL
9,MR Outgoing Variation Type II (60 day),MR Outgoing Variation Type II (60 day),13,1,2,11,4,3,0,NULL,2,VPA,2,1,3,1,NULL,00:00.0,0x000000000039209F,7,NULL,NULL,NULL,NULL
10,B/S/U - New,B/S/U - New,6,1,2,6,3,3,0,NULL,1,AE,3,1,3,4,NULL,00:00.0,0x00000000003920A0,7,NULL,NULL,NULL,NULL
12,Individual - New,Individual - New,6,1,2,7,3,3,0,NULL,1,AEI,4,1,3,2,NULL,00:00.0,0x00000000003920A1,7,NULL,NULL,NULL,NULL
13,B/S/U - Inspection,B/S/U - Inspection,6,1,2,3,3,3,0,NULL,2,AE,5,1,3,4,NULL,00:00.0,0x00000000003920A2,7,NULL,NULL,NULL,NULL
14,Project - New Standard,Project - New Standard,6,1,1,8,3,3,0,NULL,1,AEP,6,1,3,3,NULL,00:00.0,0x00000000003920A3,7,NULL,NULL,NULL,NULL
43,New - National,New - National,6,1,2,5,3,3,0,NULL,1,VPA,7,1,3,1,NULL,00:00.0,0x00000000003920A4,1,NULL,NULL,NULL,NULL
44,MR Incoming Variation IB Foreseen,MR Incoming Variation IB Foreseen,13,1,2,11,4,3,0,NULL,2,VPA,8,1,3,1,NULL,00:00.0,0x00000000003920A5,7,NULL,NULL,NULL,NULL
45,PSUR - Outgoing MR,PSUR - Outgoing MR,13,1,2,9,4,3,1,5,2,VPA,9,1,3,1,NULL,00:00.0,0x00000000003920A6,7,NULL,NULL,NULL,NULL
223,Classification Enquiry,Classification Enquiry,1,1,2,2,3,3,0,NULL,2,VPA,10,1,3,1,NULL,00:00.0,0x00000000003920A7,7,NULL,NULL,NULL,NULL
242,Marketing Status Notification,Marketing Status Notification,10,1,2,4,3,3,0,NULL,2,VPA,11,1,3,1,NULL,00:00.0,0x00000000003920A8,7,NULL,NULL,NULL,NULL
243,MR Transfer,MR Transfer,12,1,2,13,4,3,0,NULL,2,VPA,12,1,3,1,NULL,00:00.0,0x00000000003920A9,7,NULL,NULL,NULL,NULL
248,New - Homeopathic,New - Homeopathic,6,1,2,5,3,3,0,NULL,1,VPA,13,1,3,1,NULL,00:00.0,0x00000000003920AA,7,NULL,NULL,NULL,NULL
251,New - Incoming MR,New - Incoming MR,6,1,2,5,4,3,0,NULL,1,VPA,14,1,3,1,NULL,00:00.0,0x00000000003920AB,7,NULL,NULL,NULL,NULL
253,New - Outgoing Centralised as Rapp,New - Outgoing Centralised as Rapp,6,1,2,5,1,3,0,NULL,1,VPA,15,1,3,1,NULL,00:00.0,0x00000000003920AC,7,NULL,NULL,NULL,NULL
254,New - Outgoing Decentralised,New - Outgoing Decentralised,6,1,2,5,2,3,0,NULL,1,VPA,16,1,3,1,NULL,00:00.0,0x00000000003920AD,7,NULL,NULL,NULL,NULL
259,Outgoing MR Renewal,Outgoing MR Renewal,8,1,2,10,4,3,0,NULL,1,VPA,17,1,3,1,NULL,00:00.0,0x00000000003920AE,7,NULL,NULL,NULL,NULL
279,PSUR as P-CMS,PSUR as P-CMS,10,1,2,9,4,3,0,NULL,2,VPA,18,1,3,1,NULL,00:00.0,0x00000000003920AF,7,NULL,NULL,NULL,NULL
281,Scientific Advice,Scientific Advice,1,1,2,4,3,3,0,NULL,2,VPA,19,1,3,1,NULL,00:00.0,0x00000000003920B0,7,NULL,NULL,NULL,NULL
283,Transfer before Authorisation,Transfer before Authorisation,12,1,2,13,3,3,0,NULL,2,VPA,20,1,3,1,NULL,00:00.0,0x00000000003920B1,7,NULL,NULL,NULL,NULL
291,New - Outgoing Centralised as Co-Rapp,New - Outgoing Centralised as Co-Rapp,6,1,2,5,1,3,0,NULL,1,VPA,21,1,3,1,NULL,00:00.0,0x00000000003920B2,7,NULL,NULL,NULL,NULL
